Pokemon_1 ,Type_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2 ,Type_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner,Index
Breloom,Grass,60,130,80,70,340,Luxio,Electric,60,85,49,60,124,1,3424
Slakoth,Normal,60,60,60,30,210,Luxray,Electric,80,120,79,70,289,0,3425
Vigoroth,Normal,80,80,80,90,330,Magnemite,Electric,25,35,70,45,135,1,3426
Slaking,Normal,150,160,100,100,510,Magneton,Electric,50,60,95,70,195,1,3427
Nincada,Bug,31,45,90,40,206,Magnezone,Electric,70,70,115,60,292.5,0,3428
Ninjask,Bug,61,90,45,160,356,Manectric,Electric,70,75,60,105,220,1,3429
Shedinja,Bug,1,90,45,40,176,Mareep,Electric,55,40,40,35,80,1,3430
Whismur,Normal,64,51,23,28,166,Mega Ampharos,Electric,90,95,105,45,284,0,3431
Loudred,Normal,84,71,43,48,246,Mega Manectric,Electric,70,75,80,135,289,0,3432
Exploud,Normal,104,91,63,68,326,Minun,Electric,60,40,50,95,154,1,3433
Makuhita,Fighting,72,60,30,25,187,Morpeko Full Belly Mode,Electric,58,95,58,97,188,0,3434
Hariyama,Fighting,144,120,60,50,374,Morpeko Hangry Mode,Electric,58,95,58,97,68,1,3435
Azurill,Normal,50,20,40,20,130,Mow Rotom,Electric,50,65,107,86,288,0,3436
Nosepass,Rock,30,45,135,30,240,Oricorio Pom-Pom Style,Electric,75,70,70,93,218,1,3437
Skitty,Normal,50,45,45,50,190,Pachirisu,Electric,60,45,70,95,225,0,3438
Delcatty,Normal,70,65,65,90,290,Partner Pikachu,Electric,45,80,50,120,230,1,3439
Sableye,Dark,50,75,75,50,250,Pichu,Electric,20,40,15,60,60,1,3440
Mega Sableye,Dark,50,85,125,20,280,Pikachu,Electric,35,55,40,90,135,1,3441
Mawile,Steel,50,85,85,50,270,Pincurchin,Electric,48,101,95,15,216.5,1,3442
Mega Mawile,Steel,50,105,125,50,330,Plusle,Electric,60,50,40,95,192.5,1,3443
Aron,Steel,50,70,100,30,250,Raichu,Electric,60,90,55,110,280,0,3444
Lairon,Steel,60,90,140,40,330,Raikou,Electric,90,85,75,115,320,1,3445
Aggron,Steel,70,110,180,50,410,Rotom,Electric,50,50,77,91,213,1,3446
Mega Aggron,Steel,70,140,230,50,490,Shinx,Electric,45,65,34,45,119,1,3447
Meditite,Fighting,30,40,55,60,185,Tapu Koko,Electric,70,115,85,130,360,0,3448
Medicham,Fighting,60,60,75,80,275,Thundurus Incarnate Forme,Electric,79,115,70,111,315,0,3449
Mega Medicham,Fighting,60,100,85,100,345,Thundurus Therian Forme,Electric,79,105,70,101,255,1,3450
Electrike,Electric,40,45,40,65,190,Togedemaru,Electric,65,98,63,96,299.5,0,3451
Manectric,Electric,70,75,60,105,310,Toxel,Electric,40,38,35,40,115.5,1,3452
Mega Manectric,Electric,70,75,80,135,360,Toxtricity Amped Form,Electric,75,98,70,75,280.5,1,3453
Plusle,Electric,60,50,40,95,245,Toxtricity Low Key Form,Electric,75,98,70,75,293,0,3454
Minun,Electric,60,40,50,95,245,Tynamo,Electric,35,55,40,60,170,1,3455
Volbeat,Bug,65,73,75,85,298,Voltorb,Electric,40,30,50,100,147,1,3456
Illumise,Bug,65,47,75,85,272,Wash Rotom,Electric,50,65,107,86,261,1,3457
Roselia,Grass,50,60,45,65,220,Xurkitree,Electric,83,89,71,83,266,0,3458
Gulpin,Poison,70,43,53,40,206,Yamper,Electric,59,45,50,26,137,1,3459
Swalot,Poison,100,73,83,55,311,Zapdos,Electric,90,90,85,100,292,1,3460
Carvanha,Water,45,90,20,65,220,Zebstrika,Electric,75,100,63,116,264,0,3461
Sharpedo,Water,70,120,40,95,325,Zeraora,Electric,88,112,75,143,298,1,3462
Mega Sharpedo,Water,70,140,70,105,385,Alolan Raichu,Electric,60,85,50,110,165,1,3463
Wailmer,Water,130,70,35,60,295,Ampharos,Electric,90,75,85,55,235,1,3464
Wailord,Water,170,90,45,60,365,Arctozolt,Electric,90,100,90,55,245,1,3465
Numel,Fire,60,60,40,35,195,Blitzle,Electric,45,60,32,76,153,1,3466
Camerupt,Fire,70,100,70,40,280,Boltund,Electric,69,90,60,121,240,1,3467
Mega Camerupt,Fire,70,120,100,20,310,Dedenne,Electric,67,58,57,101,163,1,3468
Torkoal,Fire,70,85,140,20,315,Dracozolt,Electric,90,100,90,75,312.5,1,3469
Spoink,Psychic,60,25,35,60,180,Eelektrik,Electric,65,85,70,40,235,0,3470
Grumpig,Psychic,80,45,65,80,270,Eelektross,Electric,85,115,80,50,285,0,3471
Spinda,Normal,60,60,60,60,240,Electabuzz,Electric,65,83,57,105,250,0,3472
Trapinch,Ground,45,100,45,10,200,Electivire,Electric,75,123,67,95,160,1,3473
Vibrava,Ground,50,70,50,70,240,Electrike,Electric,40,45,40,65,50,1,3474
Flygon,Ground,80,100,80,100,360,Electrode,Electric,60,50,70,150,130,1,3475
Cacnea,Grass,50,85,40,35,210,Elekid,Electric,45,63,37,95,155,1,3476
Cacturne,Grass,70,115,60,55,300,Emolga,Electric,55,75,60,103,235.5,1,3477
Swablu,Normal,45,40,60,50,195,Fan Rotom,Electric,50,65,107,86,268,0,3478
Altaria,Dragon,75,70,90,80,315,Flaaffy,Electric,70,55,55,45,155,1,3479
Mega Altaria,Dragon,75,110,110,80,375,Frost Rotom,Electric,50,65,107,86,198,1,3480
Zangoose,Normal,73,115,60,90,338,Heat Rotom,Electric,50,65,107,86,193,1,3481
Seviper,Poison,73,100,60,65,298,Heliolisk,Electric,62,55,52,109,178,1,3482
Lunatone,Rock,90,55,65,70,280,Helioptile,Electric,44,38,33,70,130,1,3483
Solrock,Rock,90,95,85,70,340,Jolteon,Electric,65,65,60,130,225,1,3484
Barboach,Water,50,48,43,60,201,Luxio,Electric,60,85,49,60,206,0,3485
Whiscash,Water,110,78,73,60,321,Luxray,Electric,80,120,79,70,271,1,3486
Corphish,Water,43,80,65,35,223,Magnemite,Electric,25,35,70,45,95,1,3487
Crawdaunt,Water,63,120,85,55,323,Magneton,Electric,50,60,95,70,155,1,3488
Baltoy,Ground,40,40,55,55,190,Magnezone,Electric,70,70,115,60,155,1,3489
Claydol,Ground,60,70,105,75,310,Manectric,Electric,70,75,60,105,170,1,3490
Lileep,Rock,66,41,77,23,207,Mareep,Electric,55,40,40,35,129,1,3491
Cradily,Rock,86,81,97,43,307,Mega Ampharos,Electric,90,95,105,45,254,1,3492
Anorith,Rock,45,95,50,75,265,Mega Manectric,Electric,70,75,80,135,265,0,3493
Armaldo,Rock,75,125,100,45,345,Minun,Electric,60,40,50,95,120,1,3494
Feebas,Water,20,15,20,80,135,Morpeko Full Belly Mode,Electric,58,95,58,97,293,0,3495
Milotic,Water,95,60,79,81,315,Morpeko Hangry Mode,Electric,58,95,58,97,248,1,3496
Castform,Normal,70,70,70,70,280,Mow Rotom,Electric,50,65,107,86,238,1,3497
Castform Sunny Form,Fire,70,70,70,70,280,Oricorio Pom-Pom Style,Electric,75,70,70,93,238,1,3498
Castform Rainy Form,Water,70,70,70,70,280,Pachirisu,Electric,60,45,70,95,200,1,3499
Castform Snowy Form,Ice,70,70,70,70,280,Partner Pikachu,Electric,45,80,50,120,225,1,3500
Kecleon,Normal,60,90,70,40,260,Pichu,Electric,20,40,15,60,45,1,3501
Shuppet,Ghost,44,75,35,45,199,Pikachu,Electric,35,55,40,90,145,1,3502
Banette,Ghost,64,115,65,65,309,Pincurchin,Electric,48,101,95,15,144,1,3503
Mega Banette,Ghost,64,165,75,75,379,Plusle,Electric,60,50,40,95,80,1,3504
Duskull,Ghost,20,40,90,25,175,Raichu,Electric,60,90,55,110,275,0,3505
Dusclops,Ghost,40,70,130,25,265,Raikou,Electric,90,85,75,115,295,0,3506
Tropius,Grass,99,68,83,51,301,Rotom,Electric,50,50,77,91,200,1,3507
Chimecho,Psychic,75,50,80,65,270,Shinx,Electric,45,65,34,45,139,1,3508
Absol,Dark,65,130,60,75,330,Tapu Koko,Electric,70,115,85,130,335,0,3509
Mega Absol,Dark,65,150,60,115,390,Thundurus Incarnate Forme,Electric,79,115,70,111,225,1,3510
Wynaut,Psychic,95,23,48,23,189,Thundurus Therian Forme,Electric,79,105,70,101,332,0,3511
Snorunt,Ice,50,50,50,50,200,Togedemaru,Electric,65,98,63,96,297,0,3512
Glalie,Ice,80,80,80,80,320,Toxel,Electric,40,38,35,40,73,1,3513
Mega Glalie,Ice,80,120,80,100,380,Toxtricity Amped Form,Electric,75,98,70,75,198,1,3514
Spheal,Ice,70,40,50,25,185,Toxtricity Low Key Form,Electric,75,98,70,75,278,0,3515
Sealeo,Ice,90,60,70,45,265,Tynamo,Electric,35,55,40,60,130,1,3516
Walrein,Ice,110,80,90,65,345,Voltorb,Electric,40,30,50,100,140,1,3517
Clamperl,Water,35,64,85,32,216,Wash Rotom,Electric,50,65,107,86,276,0,3518
Huntail,Water,55,104,105,52,316,Xurkitree,Electric,83,89,71,83,222,1,3519
Gorebyss,Water,55,84,105,52,296,Yamper,Electric,59,45,50,26,96,1,3520
Relicanth,Water,100,90,130,55,375,Zapdos,Electric,90,90,85,100,275,1,3521
Luvdisc,Water,43,30,55,97,225,Zebstrika,Electric,75,100,63,116,324,0,3522
Bagon,Dragon,45,75,60,50,230,Zeraora,Electric,88,112,75,143,343,0,3523
Shelgon,Dragon,65,95,100,50,310,Alolan Raichu,Electric,60,85,50,110,210,1,3524
Salamence,Dragon,95,135,80,100,410,Ampharos,Electric,90,75,85,55,170,1,3525
Mega Salamence,Dragon,95,145,130,120,490,Arctozolt,Electric,90,100,90,55,190,1,3526
Beldum,Steel,40,55,80,30,205,Blitzle,Electric,45,60,32,76,185.5,1,3527
Metang,Steel,60,75,100,50,285,Boltund,Electric,69,90,60,121,302.5,0,3528
Metagross,Steel,80,135,130,70,415,Dedenne,Electric,67,58,57,101,148,1,3529
Mega Metagross,Steel,80,145,150,110,485,Dracozolt,Electric,90,100,90,75,282.5,1,3530
Regirock,Rock,80,100,200,50,430,Eelektrik,Electric,65,85,70,40,160,1,3531
Regice,Ice,80,50,100,50,280,Eelektross,Electric,85,115,80,50,280,0,3532
Registeel,Steel,80,75,150,50,355,Electabuzz,Electric,65,83,57,105,272.5,1,3533
Latias,Dragon,80,80,90,110,360,Electivire,Electric,75,123,67,95,280,1,3534
Mega Latias,Dragon,80,100,120,110,410,Electrike,Electric,40,45,40,65,90,1,3535
Latios,Dragon,80,90,80,110,360,Electrode,Electric,60,50,70,150,240,1,3536
Mega Latios,Dragon,80,130,100,110,420,Elekid,Electric,45,63,37,95,110,1,3537
Kyogre,Water,100,100,90,90,380,Emolga,Electric,55,75,60,103,193,1,3538
Primal Kyogre,Water,100,150,90,90,430,Fan Rotom,Electric,50,65,107,86,158,1,3539
Groudon,Ground,100,150,140,90,480,Flaaffy,Electric,70,55,55,45,-75,1,3540
Primal Groudon,Ground,100,180,160,90,530,Frost Rotom,Electric,50,65,107,86,308,1,3541
Rayquaza,Dragon,105,150,90,95,440,Heat Rotom,Electric,50,65,107,86,158,1,3542
Mega Rayquaza,Dragon,105,180,100,115,500,Heliolisk,Electric,62,55,52,109,98,1,3543
Jirachi,Steel,100,100,100,100,400,Helioptile,Electric,44,38,33,70,135,1,3544
Deoxys Normal Forme,Psychic,50,150,50,150,400,Jolteon,Electric,65,65,60,130,170,1,3545
Deoxys Attack Forme,Psychic,50,180,20,150,400,Luxio,Electric,60,85,49,60,74,1,3546
Deoxys Defense Forme,Psychic,50,70,160,90,370,Luxray,Electric,80,120,79,70,279,1,3547
Deoxys Speed Forme,Psychic,50,95,90,180,415,Magnemite,Electric,25,35,70,45,127.5,1,3548
Turtwig,Grass,55,68,64,31,218,Magneton,Electric,50,60,95,70,241,0,3549
Grotle,Grass,75,89,85,36,285,Magnezone,Electric,70,70,115,60,270.5,1,3550
Torterra,Grass,95,109,105,56,365,Manectric,Electric,70,75,60,105,201,1,3551
Chimchar,Fire,44,58,44,61,207,Mareep,Electric,55,40,40,35,112,1,3552
Monferno,Fire,64,78,52,81,275,Mega Ampharos,Electric,90,95,105,45,296,0,3553
Infernape,Fire,76,104,71,108,359,Mega Manectric,Electric,70,75,80,135,256,1,3554
Piplup,Water,53,51,53,40,197,Minun,Electric,60,40,50,95,194,1,3555
Prinplup,Water,64,66,68,50,248,Morpeko Full Belly Mode,Electric,58,95,58,97,242,1,3556
Empoleon,Water,84,86,88,60,318,Morpeko Hangry Mode,Electric,58,95,58,97,222,1,3557
Starly,Normal,40,55,30,60,185,Mow Rotom,Electric,50,65,107,86,253,0,3558
Staravia,Normal,55,75,50,80,260,Oricorio Pom-Pom Style,Electric,75,70,70,93,233,1,3559
Staraptor,Normal,85,120,70,100,375,Pachirisu,Electric,60,45,70,95,150,1,3560
Bidoof,Normal,59,45,40,31,175,Partner Pikachu,Electric,45,80,50,120,250,0,3561
Bibarel,Normal,79,85,60,71,295,Pichu,Electric,20,40,15,60,50,1,3562
Kricketot,Bug,37,25,41,25,128,Pikachu,Electric,35,55,40,90,195,0,3563
Kricketune,Bug,77,85,51,65,278,Pincurchin,Electric,48,101,95,15,174,1,3564
Shinx,Electric,45,65,34,45,189,Plusle,Electric,60,50,40,95,212.5,0,3565
Luxio,Electric,60,85,49,60,254,Raichu,Electric,60,90,55,110,272.5,0,3566
Luxray,Electric,80,120,79,70,349,Raikou,Electric,90,85,75,115,305,1,3567
Budew,Grass,40,30,35,55,160,Rotom,Electric,50,50,77,91,238,0,3568
Roserade,Grass,60,70,65,90,285,Shinx,Electric,45,65,34,45,119,1,3569
Cranidos,Rock,67,125,40,58,290,Tapu Koko,Electric,70,115,85,130,275,1,3570
Rampardos,Rock,97,165,60,58,380,Thundurus Incarnate Forme,Electric,79,115,70,111,45,1,3571
Shieldon,Rock,30,42,118,30,220,Thundurus Therian Forme,Electric,79,105,70,101,271,0,3572
Bastiodon,Rock,60,52,168,30,310,Togedemaru,Electric,65,98,63,96,296,1,3573
Burmy,Bug,40,29,45,36,150,Toxel,Electric,40,38,35,40,138.5,1,3574
Wormadam Plant Cloak,Bug,60,59,85,36,240,Toxtricity Amped Form,Electric,75,98,70,75,288.5,0,3575
Wormadam Sandy Cloak,Bug,60,79,105,36,280,Toxtricity Low Key Form,Electric,75,98,70,75,278.5,1,3576
Wormadam Trash Cloak,Bug,60,69,95,36,260,Tynamo,Electric,35,55,40,60,121,1,3577
Mothim,Bug,70,94,50,66,280,Voltorb,Electric,40,30,50,100,126,1,3578
Combee,Bug,30,30,42,70,172,Wash Rotom,Electric,50,65,107,86,278,0,3579
Vespiquen,Bug,70,80,102,40,292,Xurkitree,Electric,83,89,71,83,246,1,3580
Pachirisu,Electric,60,45,70,95,270,Yamper,Electric,59,45,50,26,157.5,1,3581
Buizel,Water,55,65,35,85,240,Zapdos,Electric,90,90,85,100,300,0,3582
Floatzel,Water,85,105,55,115,360,Zebstrika,Electric,75,100,63,116,249,1,3583
Cherubi,Grass,45,35,45,35,160,Zeraora,Electric,88,112,75,143,383,0,3584
Cherrim,Grass,70,60,70,85,285,Alolan Raichu,Electric,60,85,50,110,245,1,3585
Shellos,Water,76,48,48,34,206,Ampharos,Electric,90,75,85,55,257,0,3586
Gastrodon,Water,111,83,68,39,301,Arctozolt,Electric,90,100,90,55,252,1,3587
Ambipom,Normal,75,100,66,115,356,Blitzle,Electric,45,60,32,76,113,1,3588
Drifloon,Ghost,90,50,34,70,244,Boltund,Electric,69,90,60,121,290,0,3589
Drifblim,Ghost,150,80,44,80,354,Dedenne,Electric,67,58,57,101,203,1,3590
Buneary,Normal,55,66,44,85,250,Dracozolt,Electric,90,100,90,75,289,0,3591
Lopunny,Normal,65,76,84,105,330,Eelektrik,Electric,65,85,70,40,184,1,3592
Mega Lopunny,Normal,65,136,94,135,430,Eelektross,Electric,85,115,80,50,194,1,3593
Mismagius,Ghost,60,60,60,105,285,Electabuzz,Electric,65,83,57,105,250,1,3594
Honchkrow,Dark,100,125,52,71,348,Electivire,Electric,75,123,67,95,235,1,3595
Glameow,Normal,49,55,42,85,231,Electrike,Electric,40,45,40,65,135,1,3596
Purugly,Normal,71,82,64,112,329,Electrode,Electric,60,50,70,150,248,1,3597
Chingling,Psychic,45,30,50,45,170,Elekid,Electric,45,63,37,95,210,0,3598
Stunky,Poison,63,63,47,74,247,Emolga,Electric,55,75,60,103,230,1,3599
Skuntank,Poison,103,93,67,84,347,Fan Rotom,Electric,50,65,107,86,215,1,3600
Bronzor,Steel,57,24,86,23,190,Flaaffy,Electric,70,55,55,45,213,0,3601
Bronzong,Steel,67,89,116,33,305,Frost Rotom,Electric,50,65,107,86,219,1,3602
Bonsly,Rock,50,80,95,10,235,Heat Rotom,Electric,50,65,107,86,148,1,3603
Mime Jr.,Psychic,20,25,45,60,150,Heliolisk,Electric,62,55,52,109,253,0,3604
Happiny,Normal,100,5,5,30,140,Helioptile,Electric,44,38,33,70,180,0,3605
Chatot,Normal,76,65,45,91,277,Jolteon,Electric,65,65,60,130,255,1,3606
Spiritomb,Ghost,50,92,108,35,285,Luxio,Electric,60,85,49,60,162,1,3607
Gible,Dragon,58,70,45,42,215,Luxray,Electric,80,120,79,70,279,0,3608
Gabite,Dragon,68,90,65,82,305,Magnemite,Electric,25,35,70,45,130,1,3609
Garchomp,Dragon,108,130,95,102,435,Magneton,Electric,50,60,95,70,210,1,3610
Mega Garchomp,Dragon,108,170,115,92,485,Magnezone,Electric,70,70,115,60,230,1,3611
Munchlax,Normal,135,85,40,5,265,Manectric,Electric,70,75,60,105,225,1,3612
Riolu,Fighting,40,70,40,60,210,Mareep,Electric,55,40,40,35,100,1,3613
Lucario,Fighting,70,110,70,90,340,Mega Ampharos,Electric,90,95,105,45,115,1,3614
Mega Lucario,Fighting,70,145,88,112,415,Mega Manectric,Electric,70,75,80,135,215,1,3615
Hippopotas,Ground,68,72,78,32,250,Minun,Electric,60,40,50,95,101,1,3616
Hippowdon,Ground,108,112,118,47,385,Morpeko Full Belly Mode,Electric,58,95,58,97,84,1,3617
Skorupi,Poison,40,50,90,65,245,Morpeko Hangry Mode,Electric,58,95,58,97,258,0,3618
Drapion,Poison,70,90,110,95,365,Mow Rotom,Electric,50,65,107,86,128,1,3619
Croagunk,Poison,48,61,40,50,199,Oricorio Pom-Pom Style,Electric,75,70,70,93,247,0,3620
Toxicroak,Poison,83,106,65,85,339,Pachirisu,Electric,60,45,70,95,164,1,3621
Carnivine,Grass,74,100,72,46,292,Partner Pikachu,Electric,45,80,50,120,195,1,3622
Finneon,Water,49,49,56,66,220,Pichu,Electric,20,40,15,60,86,1,3623
Lumineon,Water,69,69,76,91,305,Pikachu,Electric,35,55,40,90,151,1,3624
Mantyke,Water,45,20,50,50,165,Pincurchin,Electric,48,101,95,15,239,0,3625
Snover,Grass,60,62,50,40,212,Plusle,Electric,60,50,40,95,183,1,3626
Abomasnow,Grass,90,92,75,60,317,Raichu,Electric,60,90,55,110,223,1,3627
Mega Abomasnow,Grass,90,132,105,30,357,Raikou,Electric,90,85,75,115,233,1,3628
Weavile,Dark,70,120,65,125,380,Rotom,Electric,50,50,77,91,28,1,3629
Magnezone,Electric,70,70,115,60,315,Shinx,Electric,45,65,34,45,154,1,3630
Lickilicky,Normal,110,85,95,50,340,Tapu Koko,Electric,70,115,85,130,315,1,3631
Rhyperior,Ground,115,140,130,40,425,Thundurus Incarnate Forme,Electric,79,115,70,111,375,1,3632
Tangrowth,Grass,100,100,125,50,375,Thundurus Therian Forme,Electric,79,105,70,101,305,1,3633
Electivire,Electric,75,123,67,95,360,Togedemaru,Electric,65,98,63,96,260.5,1,3634
Magmortar,Fire,75,95,67,83,320,Toxel,Electric,40,38,35,40,58,1,3635
Togekiss,Fairy,85,50,95,80,310,Toxtricity Amped Form,Electric,75,98,70,75,293,1,3636
Yanmega,Bug,86,76,86,95,343,Toxtricity Low Key Form,Electric,75,98,70,75,280,1,3637
Leafeon,Grass,65,110,130,95,400,Tynamo,Electric,35,55,40,60,80,1,3638
Glaceon,Ice,65,60,110,65,300,Voltorb,Electric,40,30,50,100,160,1,3639
Gliscor,Ground,75,95,125,95,390,Wash Rotom,Electric,50,65,107,86,308,1,3640
Mamoswine,Ice,110,130,80,80,400,Xurkitree,Electric,83,89,71,83,196,1,3641
Porygon-Z,Normal,85,80,70,90,325,Yamper,Electric,59,45,50,26,100,1,3642
Gallade,Psychic,68,125,65,80,338,Zapdos,Electric,90,90,85,100,240,1,3643
Mega Gallade,Psychic,68,165,95,110,438,Zebstrika,Electric,75,100,63,116,189,1,3644
Probopass,Rock,60,55,145,40,300,Zeraora,Electric,88,112,75,143,363,0,3645
Dusknoir,Ghost,45,100,135,45,325,Alolan Raichu,Electric,60,85,50,110,205,1,3646
Froslass,Ice,70,80,70,110,330,Ampharos,Electric,90,75,85,55,225,1,3647
Rotom,Electric,50,50,77,91,268,Arctozolt,Electric,90,100,90,55,335,0,3648
Heat Rotom,Electric,50,65,107,86,308,Blitzle,Electric,45,60,32,76,213,1,3649
Wash Rotom,Electric,50,65,107,86,308,Boltund,Electric,69,90,60,121,307.5,1,3650
Frost Rotom,Electric,50,65,107,86,308,Dedenne,Electric,67,58,57,101,250.5,1,3651
Fan Rotom,Electric,50,65,107,86,308,Dracozolt,Electric,90,100,90,75,355,0,3652
Mow Rotom,Electric,50,65,107,86,308,Eelektrik,Electric,65,85,70,40,227.5,1,3653
Uxie,Psychic,75,75,130,95,375,Eelektross,Electric,85,115,80,50,255,1,3654
Mesprit,Psychic,80,105,105,80,370,Electabuzz,Electric,65,83,57,105,205,1,3655
Azelf,Psychic,75,125,70,115,385,Electivire,Electric,75,123,67,95,235,1,3656
Dialga,Steel,100,120,120,90,430,Electrike,Electric,40,45,40,65,130,1,3657
Palkia,Water,90,120,100,100,410,Electrode,Electric,60,50,70,150,210,1,3658
Heatran,Fire,91,90,106,77,364,Elekid,Electric,45,63,37,95,150,1,3659
Regigigas,Normal,110,160,110,100,480,Emolga,Electric,55,75,60,103,133,1,3660
Giratina Altered Forme,Ghost,150,100,120,90,460,Fan Rotom,Electric,50,65,107,86,208,1,3661
Giratina Origin Forme,Ghost,150,120,100,90,460,Flaaffy,Electric,70,55,55,45,105,1,3662
Cresselia,Psychic,120,70,120,85,395,Frost Rotom,Electric,50,65,107,86,238,1,3663
Phione,Water,80,80,80,80,320,Heat Rotom,Electric,50,65,107,86,148,1,3664
Manaphy,Water,100,100,100,100,400,Heliolisk,Electric,62,55,52,109,278,1,3665
Darkrai,Dark,70,90,90,125,375,Helioptile,Electric,44,38,33,70,95,1,3666
Shaymin Land Forme,Grass,100,100,100,100,400,Jolteon,Electric,65,65,60,130,220,1,3667
Shaymin Sky Forme,Grass,100,103,75,127,405,Luxio,Electric,60,85,49,60,151,1,3668
Arceus,Normal,120,120,120,120,480,Luxray,Electric,80,120,79,70,229,1,3669
Victini,Psychic,100,100,100,100,400,Magnemite,Electric,25,35,70,45,125,1,3670
Snivy,Grass,45,45,55,63,208,Magneton,Electric,50,60,95,70,252.5,0,3671
Servine,Grass,60,60,75,83,278,Magnezone,Electric,70,70,115,60,285,0,3672
Serperior,Grass,75,75,95,113,358,Manectric,Electric,70,75,60,105,235,1,3673
Tepig,Fire,65,63,45,45,218,Mareep,Electric,55,40,40,35,107,1,3674
Pignite,Fire,90,93,55,55,293,Mega Ampharos,Electric,90,95,105,45,288.5,1,3675
Emboar,Fire,110,123,65,65,363,Mega Manectric,Electric,70,75,80,135,237,1,3676
Oshawott,Water,55,55,45,45,200,Minun,Electric,60,40,50,95,190,1,3677
Dewott,Water,75,75,60,60,270,Morpeko Full Belly Mode,Electric,58,95,58,97,233,1,3678
Samurott,Water,95,100,85,70,350,Morpeko Hangry Mode,Electric,58,95,58,97,208,1,3679
Patrat,Normal,45,55,39,42,181,Mow Rotom,Electric,50,65,107,86,253,0,3680
Watchog,Normal,60,85,69,77,291,Oricorio Pom-Pom Style,Electric,75,70,70,93,223,1,3681
Lillipup,Normal,45,60,45,55,205,Pachirisu,Electric,60,45,70,95,210,0,3682
Herdier,Normal,65,80,65,60,270,Partner Pikachu,Electric,45,80,50,120,215,1,3683
Stoutland,Normal,85,110,90,80,365,Pichu,Electric,20,40,15,60,25,1,3684
Purrloin,Dark,41,50,37,66,194,Pikachu,Electric,35,55,40,90,170,1,3685
Liepard,Dark,64,88,50,106,308,Pincurchin,Electric,48,101,95,15,171,1,3686
Pansage,Grass,50,53,48,64,215,Plusle,Electric,60,50,40,95,192,1,3687
Simisage,Grass,75,98,63,101,337,Raichu,Electric,60,90,55,110,217,1,3688
Pansear,Fire,50,53,48,64,215,Raikou,Electric,90,85,75,115,312,0,3689
Simisear,Fire,75,98,63,101,337,Rotom,Electric,50,50,77,91,170,1,3690
Panpour,Water,50,53,48,64,215,Shinx,Electric,45,65,34,45,136,1,3691
Simipour,Water,75,98,63,101,337,Tapu Koko,Electric,70,115,85,130,302,1,3692
Munna,Psychic,76,25,45,24,170,Thundurus Incarnate Forme,Electric,79,115,70,111,350,0,3693
Musharna,Psychic,116,55,85,29,285,Thundurus Therian Forme,Electric,79,105,70,101,300,0,3694
Pidove,Normal,50,55,50,43,198,Togedemaru,Electric,65,98,63,96,294.5,0,3695
Tranquill,Normal,62,77,62,65,266,Toxel,Electric,40,38,35,40,76,1,3696
Unfezant,Normal,80,115,80,93,368,Toxtricity Amped Form,Electric,75,98,70,75,203,1,3697
Blitzle,Electric,45,60,32,76,213,Toxtricity Low Key Form,Electric,75,98,70,75,288,0,3698
Zebstrika,Electric,75,100,63,116,354,Tynamo,Electric,35,55,40,60,140,1,3699
Roggenrola,Rock,55,75,85,15,230,Voltorb,Electric,40,30,50,100,145,1,3700
Boldore,Rock,70,105,105,20,300,Wash Rotom,Electric,50,65,107,86,203,1,3701
Gigalith,Rock,85,135,130,25,375,Xurkitree,Electric,83,89,71,83,191,1,3702
Woobat,Psychic,65,45,43,72,225,Yamper,Electric,59,45,50,26,135,1,3703
Swoobat,Psychic,67,57,55,114,293,Zapdos,Electric,90,90,85,100,308,0,3704
Drilbur,Ground,60,85,40,68,253,Zebstrika,Electric,75,100,63,116,184,1,3705
Excadrill,Ground,110,135,60,88,393,Zeraora,Electric,88,112,75,143,148,1,3706
Audino,Normal,103,60,86,50,299,Alolan Raichu,Electric,60,85,50,110,245,1,3707
Mega Audino,Normal,103,60,126,50,339,Ampharos,Electric,90,75,85,55,245,1,3708
Timburr,Fighting,75,80,55,35,245,Arctozolt,Electric,90,100,90,55,255,0,3709
Gurdurr,Fighting,85,105,85,40,315,Blitzle,Electric,45,60,32,76,108,1,3710
Conkeldurr,Fighting,105,140,95,45,385,Boltund,Electric,69,90,60,121,200,1,3711
Tympole,Water,50,50,40,64,204,Dedenne,Electric,67,58,57,101,233,0,3712
Palpitoad,Water,75,65,55,69,264,Dracozolt,Electric,90,100,90,75,322.5,0,3713
Seismitoad,Water,105,95,75,74,349,Eelektrik,Electric,65,85,70,40,165,1,3714
Throh,Fighting,120,100,85,45,350,Eelektross,Electric,85,115,80,50,230,1,3715
Sawk,Fighting,75,125,75,85,360,Electabuzz,Electric,65,83,57,105,185,1,3716
Sewaddle,Bug,45,53,70,42,210,Electivire,Electric,75,123,67,95,307,0,3717
Swadloon,Bug,55,63,90,42,250,Electrike,Electric,40,45,40,65,127,1,3718
Leavanny,Bug,75,103,80,92,350,Electrode,Electric,60,50,70,150,227,1,3719
Venipede,Bug,30,45,59,57,191,Elekid,Electric,45,63,37,95,195,0,3720
Whirlipede,Bug,40,55,99,47,241,Emolga,Electric,55,75,60,103,265.5,0,3721
Scolipede,Bug,60,100,89,112,361,Fan Rotom,Electric,50,65,107,86,258,1,3722
